Current_Code,Current_Name,Current_NameVi,Action,New_Code,New_Name,New_NameEn,New_NameVi,New_NameZh,Notes
BOD,BOD,BOD,UPDATE,BOD,BOD-Ban giám đốc,Board of Director,Ban giám đốc,,No code change
HCNS,HCNS,HCNS,UPDATE,HR,HR-HCNS (Hành chính Nhân sự),Human Resource Dept.,HCNS (Hành chính Nhân sự),,Code change HCNS → HR
KINH_DOANH,Kinh doanh,Kinh doanh,UPDATE,SD,SD-Kinh doanh,Sales Dept.,Kinh doanh,,Code change KINH_DOANH → SD
KE_TOAN,Kế toán,Kế toán,UPDATE,AC,AC-Kế toán,Accounting Dept.,Kế toán,,Code change KE_TOAN → AC
THU_MUA,Thu mua,Thu mua,UPDATE,PUR,PUR-Thu mua,Purchasing Dept.,Thu mua,,Code change THU_MUA → PUR
IT,Phòng thông tin,Phòng thông tin,UPDATE,IT,IT-Thông tin,Information Technology,Thông tin,,No code change; nameVi updated
XNK,Xuất nhập khẩu,Xuất nhập khẩu,UPDATE,SHD,SHD-Xuất nhập khẩu,Shipping Dept.,Xuất nhập khẩu,,Code change XNK → SHD
PMC,PMC,PMC,UPDATE,PMC,PMC-Kế hoạch sản xuất,Production Material Control,Kế hoạch sản xuất,,No code change; nameVi updated
QA,QA,QA,UPDATE,QA,QA-QA,Quality Assurance,QA,,No code change
KHO,Kho,Kho,UPDATE,WH,WH-Kho,Warehouse Dept.,Kho,,Code change KHO → WH
CONG_TRINH,Công trình,Công trình,UPDATE,EG,EG-Công trình,Engineering Dept.,Công trình,,Code change CONG_TRINH → EG
CONG_TRINH_DU_AN,Công trình dự án,Công trình dự án,UPDATE,IE,IE-Công trình dự án,Industry Engineering Dept.,Công trình dự án,,Code change CONG_TRINH_DU_AN → IE
BOC_SOI,Bọc sợi,Bọc sợi,UPDATE,CV,CV-Bọc sợi,Covering,Bọc sợi,,Code change BOC_SOI → CV
KEO_SOI,Kéo sợi,Kéo sợi,UPDATE,WD,WD-Kéo sợi,Warping Dept.,Kéo sợi,,Code change KEO_SOI → WD
CONG_NGHE,Công nghệ,Công nghệ,UPDATE,V-Tech,V-Tech-Công nghệ,Technology Dept.,Công nghệ,,Code change CONG_NGHE → V-Tech; English name added
DET_DAI,Dệt đai,Dệt đai,UPDATE,WV,WV-Dệt đai,Elastic Weaving Dept.,Dệt đai,,Code change DET_DAI → WV
NHUOM_DAI,Nhuộm đai,Nhuộm đai,UPDATE,DF,DF-Nhuộm đai,Elastic Dyeing,Nhuộm đai,,Code change NHUOM_DAI → DF
QC_DAI,QC đai,QC đai,UPDATE,QC(E),QC(E)-QC đai,Elastic Quality Control,QC đai,,Code change QC_DAI → QC(E)
DET_DOC,Dệt dọc,Dệt dọc,UPDATE,WA,WA-Dệt dọc,Warping & Knitting Dept.,Dệt dọc,,Code change DET_DOC → WA
DET_NGANG,Dệt ngang,Dệt ngang,UPDATE,WK,WK-Dệt ngang,Weft Knitting Dept.,Dệt ngang,,Code change DET_NGANG → WK
PHONG_THI_NGHIEM,Phòng thí nghiệm,Phòng thí nghiệm,UPDATE,LAB,LAB-Thí nghiệm,Laboratory,Thí nghiệm,,Code change PHONG_THI_NGHIEM → LAB
NHUOM_VAI,Nhuộm vải,Nhuộm vải,UPDATE,DH,DH-Nhuộm vải,Fabric Dyeing,Nhuộm vải,,Code change NHUOM_VAI → DH
DINH_HINH,Định hình,Định hình,UPDATE,SS,SS-Định hình,Scouring and Setting,Định hình,,Code change DINH_HINH → SS
QC_VAI,QC vải,QC vải,UPDATE,QC(F),QC(F)-QC vải,Fabric Quality Control,QC vải,,Code change QC_VAI → QC(F)
